player_id,tourney_spectators
100644,1991404
101305,4092
101339,13332
102093,27189
102706,3002
102737,8364
102800,4392
102863,1928
102864,42865
102963,3760
102987,5691
103060,4113
103077,15305
103105,314651
103163,56951
103175,243626
103285,224258
103327,12908
103333,872845
103401,74187
103417,5779
103499,3611
103523,3966
103529,7832
103531,346
103543,5544
103565,763094
103574,3786
103582,214759
103590,22244
103594,6034
103600,638
103607,560792
103612,34094
103643,16709
103655,3002
103656,181678
103657,2821
103665,85409
103690,2430
103708,136856
103744,3100
103762,25650
103780,9947
103781,335882
103782,24469
103794,209942
103806,2801
103811,13651
103812,8706
103813,1172
103819,1328677
103822,12531
103835,128897
103843,361332
103852,1149924
103859,6392
103863,194471
103875,497
103876,75718
103893,1329928
103898,534816
103902,131248
103908,275574
103914,10508
103917,590710
103920,20460
103921,30880
103924,5544
103926,348144
103938,44243
103946,2930
103970,455977
103977,3123
103980,6837
103990,810618
103997,10656
104007,288163
104022,608014
104043,384
104052,2855
104070,39448
104082,14994
104095,271056
104098,81614
104112,32541
104113,42230
104117,91301
104122,815893
104136,15990
104160,14092
104165,3804
104168,2999
104180,416517
104186,3123
104187,5781
104198,1103433
104212,3810
104216,366479
104229,455329
104233,376603
104235,52466
104249,2813
104251,250588
104252,402193
104259,1120481
104262,112544
104268,273237
104269,1149452
104273,148645
104286,2519
104288,3587
104291,1193351
104297,945232
104306,8004
104308,271887
104312,1153203
104316,2121
104327,669505
104330,173168
104332,14079
104334,28144
104338,41834
104349,2912
104371,27175
104386,381657
104390,12777
104395,38387
104398,21858
104424,1297085
104431,28641
104433,327708
104460,944499
104467,42570
104468,1221348
104471,169621
104473,186298
104478,10125
104494,238100
104495,430
104499,164430
104500,35407
104505,625466
104510,6064
104523,52310
104527,1074474
104534,881220
104535,10782
104542,773650
104544,8300
104545,1391957
104547,592954
104548,102559
104550,43153
104551,5036
104556,3824
104559,1021473
104563,917299
104571,670671
104574,8184
104578,4499
104579,74243
104583,4407
104586,1224541
104591,4960
104593,843689
104594,492683
104597,244216
104600,5366
104602,4499
104604,72041
104607,565472
104612,39674
104615,23963
104619,26377
104620,612775
104627,25641
104628,330950
104629,1114950
104631,766
104643,21538
104644,155661
104646,22397
104647,3296
104655,1173524
104656,2456
104660,1482300
104665,928339
104667,11028
104672,680406
104676,111314
104677,16108
104678,1025499
104690,28676
104704,6287
104707,99119
104714,81369
104719,932677
104720,7174
104729,506806
104731,1161845
104735,1286336
104736,186214
104738,208952
104744,6701
104745,1857375
104750,6465
104753,6063
104755,1128666
104763,775
104765,56852
104771,305437
104781,33548
104783,10566
104789,2680
104792,1238397
104797,1161289
104802,69871
104804,259415
104810,1013442
104813,279012
104816,407
104817,2935
104818,2624
104822,217183
104836,39314
104839,13365
104846,116291
104847,144404
104851,71011
104852,141457
104857,2936
104861,3100
104864,100452
104868,703080
104871,1313305
104873,916428
104882,864906
104883,26281
104890,227615
104893,66223
104895,462
104897,1121209
104898,1223772
104900,2780
104901,105347
104903,62182
104905,261106
104906,23851
104907,379920
104911,3552
104918,548107
104919,1101990
104920,295360
104924,36817
104925,2082749
104926,1390520
104927,22322
104932,909847
104936,11579
104944,139881
104945,334605
104947,287906
104960,21173
104963,418066
104970,948155
104972,3284
104978,655642
104979,297348
104980,43811
104986,162083
104993,11430
104997,513989
104998,6254
104999,1155238
105001,83294
105006,50955
105011,996465
105012,97236
